OBJECTID_1,postal,Name_EN,Nom_Fr,PRUID,Province,PRUID_1,Jan20_15,Jan20_1524,Jan20_25,Jan20_2554,Jan20_55,Feb20_15,Feb20_1524,Feb20_25,Feb20_2554,Feb20_55,Mar20_15,Mar20_1524,Mar20_25,Mar20_2554,Mar20_55,ObjectID,Apr20_15,Apr20_1524,Apr20_25,Apr20_2554,Apr20_55,Shape__Area,Shape__Length
1,MB,Manitoba,Manitoba,46,Manitoba,46,5.1,9.2,4.3,4.7,3.3,5,9.6,4.2,4.3,3.8,6.4,13.6,5.2,5.5,4.1,7,11.4,24.6,9.2,10.1,6.4,1987391004483.56,7174885.01391486
2,SK,Saskatchewan,Saskatchewan,47,Saskatchewan,47,6,15.1,4.5,4.9,3.5,6.2,14.1,4.8,5,4.4,7.3,16.4,5.8,6.1,5,8,11.3,23.7,9.5,9.9,8.1,1936261321432.15,6105908.84954314
3,AB,Alberta, ,48,Alberta,48,7.3,13.9,6.3,6.2,6.6,7.2,13.5,6.2,5.9,7.3,8.7,20.6,7.1,7.2,6.5,9,13.4,29,11.5,11.5,11.2,2046154906449.21,6480083.90844603
4,BC,British Columbia,Colombie-Britannique,59,British Columbia,59,4.5,8.6,3.8,3.7,4.1,5,9.1,4.4,4.1,5.3,7.2,16.1,5.8,5.9,5.6,10,11.5,24.2,9.8,10.1,9,2864108355131.26,29959143.7777154
5,NU,Nunavut,Nunavut,62,Nunavut,62,,,,,,,,,,,,,,,,13,,,,,,22701832858612.4,271097284.834645
6,NT,Northwest Territories,Territoires du Nord-Ouest,61,Northwest Territories,61,,,,,,,,,,,,,,,,12,,,,,,8759244878265.61,53788782.6394736
7,YT,Yukon,Yukon,60,Yukon,60,,,,,,,,,,,,,,,,11,,,,,,2472298121231.08,9703122.35448841
8,ON,Ontario,Ontario,35,Ontario,35,5.2,10.2,4.4,4.7,3.6,5.5,11,4.5,4.8,3.9,7.6,15.8,6.3,6.7,5.4,6,11.3,24,9.5,9.5,9.5,2634172801461.73,9645718.42987596
9,QC,Québec,Québec,24,Quebec,24,5.1,8.7,4.5,4.3,5.1,4.5,6.8,4.1,3.8,5,8.1,17.9,6.5,6.4,6.8,5,17,34.4,14.3,13.9,15.6,4296851725574.44,28578078.9376132
10,NB,New Brunswick,Nouveau-Brunswick,13,New Brunswick,13,7.5,9.8,7.1,6.7,8,6.9,10.2,6.5,6,7.2,8.8,15.8,7.7,7.1,9.4,4,13.2,21.1,12.1,12.1,12.1,154161866333.91,3044798.03697457
11,NS,Nova Scotia,Nouvelle-Écosse,12,Nova Scotia,12,7.4,12.3,6.5,6.5,6.5,7.8,13.7,6.7,6.7,6.7,8,17.2,7.7,7.7,7.5,2,12,26.5,9.8,9.9,9.8,110845332245.891,5853202.26740337
12,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10,Newfoundland & Labrador,10,11.9,18,11,9.3,15.8,12,17.7,11.1,9.1,16.8,11.7,17.3,11,9.7,14.8,1,16,25.5,14.7,12.6,20.9,1113018779019.18,29391648.7149574
13,PE,Prince Edward Island,|Île du Prince-Édouard,11,Prince Edward Island,11,7.5,8.5,7.2,6.6,8.5,8,11.1,7.4,7.3,8.1,8.6,11.3,8.2,8.3,8.2,3,10.8,14,10.4,10.5,10,12051463224.6484,1334823.60887062
